"",count,mean,std,min,25%,50%,75%,max
手机上网整体满意度,3845.000000,8.603381,0.677833,7.000000,8.000000,9.000000,9.000000,9.000000
网络覆盖与信号强度,3845.000000,8.489727,0.759067,7.000000,8.000000,9.000000,9.000000,9.000000
手机上网速度,3845.000000,8.480364,0.759910,7.000000,8.000000,9.000000,9.000000,9.000000
手机上网稳定性,3845.000000,8.473082,0.764806,7.000000,8.000000,9.000000,9.000000,9.000000
居民小区,3845.000000,0.213524,0.409848,0.000000,0.000000,0.000000,0.000000,1.000000
是否5G网络客户,3845.000000,0.449155,0.497473,0.000000,0.000000,0.000000,1.000000,1.000000
高校,3845.000000,0.013784,0.116609,0.000000,0.000000,0.000000,0.000000,1.000000
是否不限量套餐到达用户,3845.000000,0.124577,0.330282,0.000000,0.000000,0.000000,0.000000,1.000000
其他，请注明.5,3845.000000,0.004421,0.066355,0.000000,0.000000,0.000000,0.000000,1.000000
咪咕视频,3845.000000,0.007022,0.083514,0.000000,0.000000,0.000000,0.000000,1.000000
阴阳师,3845.000000,0.000520,0.022804,0.000000,0.000000,0.000000,0.000000,1.000000
手机QQ,3845.000000,0.017945,0.132770,0.000000,0.000000,0.000000,0.000000,1.000000
手机上网速度慢,3845.00000,0.16723,0.37323,0.00000,0.00000,0.00000,0.00000,1.00000
炉石传说,3845.000000,0.000780,0.027925,0.000000,0.000000,0.000000,0.000000,1.000000
打游戏延时大,3845.000000,0.020286,0.140995,0.000000,0.000000,0.000000,0.000000,1.000000
火山,3845.000000,0.003641,0.060239,0.000000,0.000000,0.000000,0.000000,1.000000
显示有信号上不了网,3845.000000,0.162289,0.368763,0.000000,0.000000,0.000000,0.000000,1.000000
今日头条,3845.000000,0.025748,0.158402,0.000000,0.000000,0.000000,0.000000,1.000000
办公室,3845.000000,0.118856,0.323661,0.000000,0.000000,0.000000,0.000000,1.000000
上网质差次数,3845.000000,0.374512,2.719486,0.000000,0.000000,0.000000,0.000000,106.000000
梦幻西游,3845.000000,0.001560,0.039477,0.000000,0.000000,0.000000,0.000000,1.000000
当月MOU,3845.000000,273.157607,377.826383,0.000000,61.000000,141.000000,327.000000,4307.000000
其他，请注明.2,3845.000000,0.002601,0.050938,0.000000,0.000000,0.000000,0.000000,1.000000
客户星级标识,3845.000000,4.039792,0.921321,0.000000,4.000000,4.000000,4.000000,8.000000
穿越火线,3845.000000,0.002861,0.053417,0.000000,0.000000,0.000000,0.000000,1.000000
全部都卡顿,3845.000000,0.011964,0.108736,0.000000,0.000000,0.000000,0.000000,1.000000
微信,3845.000000,0.069441,0.254235,0.000000,0.000000,0.000000,0.000000,1.000000
全部游戏都卡顿,3845.000000,0.003901,0.062346,0.000000,0.000000,0.000000,0.000000,1.000000
脱网次数,3845.000000,2.843693,23.344115,0.000000,0.000000,0.000000,0.000000,797.000000
性别,3845.000000,0.316775,0.920651,-1.000000,-1.000000,1.000000,1.000000,1.000000
套外流量费（元）,3845.000000,2.850791,15.896186,0.000000,0.000000,0.000000,0.000000,500.000000
农村,3845.000000,0.081664,0.273889,0.000000,0.000000,0.000000,0.000000,1.000000
搜狐视频,3845.000000,0.007542,0.086529,0.000000,0.000000,0.000000,0.000000,1.000000
京东,3845.000000,0.036411,0.187335,0.000000,0.000000,0.000000,0.000000,1.000000
微信质差次数,3845.000000,0.637711,3.064700,0.000000,0.000000,0.000000,0.000000,91.000000
百度,3845.000000,0.038752,0.193028,0.000000,0.000000,0.000000,0.000000,1.000000
套外流量（MB）,3845.000000,36.506114,424.890574,0.000000,0.000000,0.000000,0.000000,16126.020000
其他，请注明.1,3845.000000,0.009883,0.098934,0.000000,0.000000,0.000000,0.000000,1.000000
抖音,3845.000000,0.041092,0.198530,0.000000,0.000000,0.000000,0.000000,1.000000
商业街,3845.000000,0.065280,0.247051,0.000000,0.000000,0.000000,0.000000,1.000000
拼多多,3845.000000,0.022107,0.147049,0.000000,0.000000,0.000000,0.000000,1.000000
新浪微博,3845.000000,0.013264,0.114418,0.000000,0.000000,0.000000,0.000000,1.000000
其他，请注明,3845.000000,0.031730,0.175302,0.000000,0.000000,0.000000,0.000000,1.000000
和平精英,3845.000000,0.004941,0.070131,0.000000,0.000000,0.000000,0.000000,1.000000
手机支付较慢,3845.000000,0.053056,0.224174,0.000000,0.000000,0.000000,0.000000,1.000000
看视频卡顿,3845.000000,0.086606,0.281293,0.000000,0.000000,0.000000,0.000000,1.000000
终端品牌,3845.000000,2.366710,1.913106,0.000000,1.000000,2.000000,3.000000,32.000000
梦幻诛仙,3845.000000,0.000520,0.022804,0.000000,0.000000,0.000000,0.000000,1.000000
部落冲突,3845.000000,0.000520,0.022804,0.000000,0.000000,0.000000,0.000000,1.000000
腾讯视频,3845.000000,0.030689,0.172497,0.000000,0.000000,0.000000,0.000000,1.000000
上网过程中网络时断时续或时快时慢,3845.000000,0.209883,0.407278,0.000000,0.000000,0.000000,0.000000,1.000000
其他，请注明.3,3845.000000,0.006502,0.080383,0.000000,0.000000,0.000000,0.000000,1.000000
地铁,3845.000000,0.177633,0.382253,0.000000,0.000000,0.000000,0.000000,1.000000
打开网页或APP图片慢,3845.000000,0.119896,0.324882,0.000000,0.000000,0.000000,0.000000,1.000000
快手,3845.000000,0.018986,0.136492,0.000000,0.000000,0.000000,0.000000,1.000000
芒果TV,3845.000000,0.005202,0.071943,0.000000,0.000000,0.000000,0.000000,1.000000
爱奇艺,3845.000000,0.027048,0.162245,0.000000,0.000000,0.000000,0.000000,1.000000
龙之谷,3845.000000,0.000520,0.022804,0.000000,0.000000,0.000000,0.000000,1.000000
高铁,3845.000000,0.080364,0.271891,0.000000,0.000000,0.000000,0.000000,1.000000
全部网页或APP都慢,3845.000000,0.020546,0.141878,0.000000,0.000000,0.000000,0.000000,1.000000
王者荣耀,3845.000000,0.010663,0.102724,0.000000,0.000000,0.000000,0.000000,1.000000
淘宝,3845.000000,0.043693,0.204438,0.000000,0.000000,0.000000,0.000000,1.000000
其他，请注明.4,3845.000000,0.002081,0.045572,0.000000,0.000000,0.000000,0.000000,1.000000
下载速度慢,3845.000000,0.063979,0.244748,0.000000,0.000000,0.000000,0.000000,1.000000
优酷,3845.000000,0.015085,0.121905,0.000000,0.000000,0.000000,0.000000,1.000000
欢乐斗地主,3845.000000,0.004941,0.070131,0.000000,0.000000,0.000000,0.000000,1.000000
网络信号差/没有信号,3845.000000,0.252016,0.434227,0.000000,0.000000,0.000000,1.000000,1.000000
出现问题场所或应用总,3845.000000,1.221066,2.222420,0.000000,0.000000,0.000000,2.000000,21.000000
网络卡速度慢延时大上不了网总,3845.000000,1.171651,1.976627,0.000000,0.000000,0.000000,2.000000,12.000000
质差总,3845.000000,1.012224,4.184122,0.000000,0.000000,0.000000,0.000000,106.000000
地点总,3845.000000,0.751105,1.138761,0.000000,0.000000,0.000000,1.000000,7.000000
整体评分,3845.000000,8.514694,0.678267,7.000000,8.000000,9.000000,9.000000,9.000000
