手机上网整体满意度,网络覆盖与信号强度,手机上网速度,手机上网稳定性,居民小区,是否5G网络客户,高校,是否不限量套餐到达用户,其他，请注明.5,咪咕视频,阴阳师,手机QQ,手机上网速度慢,炉石传说,打游戏延时大,火山,显示有信号上不了网,今日头条,办公室,上网质差次数,梦幻西游,当月MOU,其他，请注明.2,客户星级标识,穿越火线,全部都卡顿,微信,全部游戏都卡顿,脱网次数,性别,套外流量费（元）,农村,搜狐视频,京东,微信质差次数,百度,套外流量（MB）,其他，请注明.1,抖音,商业街,拼多多,新浪微博,其他，请注明,和平精英,手机支付较慢,看视频卡顿,终端品牌,梦幻诛仙,部落冲突,腾讯视频,上网过程中网络时断时续或时快时慢,其他，请注明.3,地铁,打开网页或APP图片慢,快手,芒果TV,爱奇艺,龙之谷,高铁,全部网页或APP都慢,王者荣耀,淘宝,其他，请注明.4,下载速度慢,优酷,欢乐斗地主,网络信号差/没有信号,出现问题场所或应用总,网络卡速度慢延时大上不了网总,质差总,地点总
7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,7,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,1
3,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,206,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,7,5,0,7
8,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930,0,2,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,1
9,9,9,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,2
9,6,8,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
9,9,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,7,6,8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,409,0,2,0,0,1,0,6,1,5,1,0,0,0,0,179.06,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,5,5,0,3
7,7,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2
2,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,7,0,3
1,0,3,3,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,42,0,4,0,5,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,8,6,42,3
6,5,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,49,0,3,0,0,0,0,6,1,35,0,0,0,18,0,195.07,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,18,3
8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,2,0,0,0,0,14,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1
5,6,4,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,0,75,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,2
8,7,6,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,105,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,5,0,2
9,9,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,2,0,0,0,0,0,1,1,0,0,0,0,0,74.26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2839,1,2,0,0,0,0,16,0,0,0,0,0,5,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1
6,6,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
8,9,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
7,7,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,6,0,0,0,0,9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1
7,7,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88,0,3,0,0,1,0,0,-1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5,5,2,2
8,8,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,3
7,6,7,8,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,237,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,7,5,0,1
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,89,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2
2,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,25,0,0,0,1,0,0,54,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,4,8,1,4
9,9,9,9,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,4,0,44,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,11,5,0
4,2,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,72,0,5,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,6,3,0,4
