"",count,mean,std,min,25%,50%,75%,max
语音通话整体满意度,413.000000,1.569007,1.681772,0.000000,0.000000,1.000000,3.000000,4.000000
网络覆盖与信号强度,413.000000,1.368039,1.556429,0.000000,0.000000,1.000000,3.000000,4.000000
语音通话清晰度,413.000000,1.641646,1.667045,0.000000,0.000000,1.000000,3.000000,4.000000
语音通话稳定性,413.000000,1.353511,1.569110,0.000000,0.000000,0.000000,3.000000,4.000000
是否遇到过网络问题,413.00000,0.94431,0.22960,0.00000,1.00000,1.00000,1.00000,1.00000
居民小区,413.000000,0.743341,0.437319,0.000000,0.000000,1.000000,1.000000,1.000000
办公室,413.000000,0.537530,0.499194,0.000000,0.000000,1.000000,1.000000,1.000000
高校,413.000000,0.082324,0.275192,0.000000,0.000000,0.000000,0.000000,1.000000
商业街,413.000000,0.237288,0.425936,0.000000,0.000000,0.000000,0.000000,1.000000
地铁,413.000000,0.334140,0.472261,0.000000,0.000000,0.000000,1.000000,1.000000
农村,413.000000,0.210654,0.408267,0.000000,0.000000,0.000000,0.000000,1.000000
高铁,413.000000,0.193705,0.395679,0.000000,0.000000,0.000000,0.000000,1.000000
其他，请注明,413.000000,0.130751,0.337536,0.000000,0.000000,0.000000,0.000000,1.000000
手机没有信号,413.000000,0.653753,0.476350,0.000000,0.000000,1.000000,1.000000,1.000000
有信号无法拨通,413.000000,0.510896,0.500488,0.000000,0.000000,1.000000,1.000000,1.000000
通话过程中突然中断,413.000000,0.607748,0.488845,0.000000,0.000000,1.000000,1.000000,1.000000
通话中有杂音、听不清、断断续续,413.000000,0.607748,0.488845,0.000000,0.000000,1.000000,1.000000,1.000000
串线,413.000000,0.123487,0.329394,0.000000,0.000000,0.000000,0.000000,1.000000
通话过程中一方听不见,413.000000,0.588378,0.492724,0.000000,0.000000,1.000000,1.000000,1.000000
其他，请注明.1,413.000000,0.099274,0.299392,0.000000,0.000000,0.000000,0.000000,1.000000
脱网次数,413.000000,10.208232,31.666653,0.000000,0.000000,0.000000,8.000000,350.000000
mos质差次数,413.000000,6.135593,9.745600,0.000000,0.000000,3.000000,8.000000,90.000000
未接通掉话次数,413.000000,1.576271,4.058686,0.000000,0.000000,0.000000,2.000000,50.000000
是否投诉,413.000000,0.041162,0.198906,0.000000,0.000000,0.000000,0.000000,1.000000
4\5G用户,413.000000,1.363196,0.524915,0.000000,1.000000,1.000000,2.000000,2.000000
是否关怀用户,413.000000,0.009685,0.098055,0.000000,0.000000,0.000000,0.000000,1.000000
套外流量（MB）,413.000000,52.159540,357.630372,0.000000,0.000000,0.000000,0.000000,4316.620000
是否4G网络客户（本地剔除物联网）,413.000000,0.973366,0.161208,0.000000,1.000000,1.000000,1.000000,1.000000
套外流量费（元）,413.000000,3.370969,27.498794,0.000000,0.000000,0.000000,0.000000,500.000000
外省语音占比,413.000000,0.075344,0.252397,0.000000,0.000000,0.000000,0.000000,1.000000
语音通话-时长（分钟）,413.000000,579.193705,651.282898,0.000000,181.000000,401.000000,708.000000,5948.000000
省际漫游-时长（分钟）,413.000000,50.188862,249.710567,0.000000,0.000000,0.000000,0.000000,3066.000000
终端品牌,413.000000,18.593220,4.666983,4.000000,14.000000,22.000000,22.000000,22.000000
当月ARPU,413.000000,104.460823,91.748126,0.000000,46.000000,85.000000,138.490000,892.720000
当月MOU,413.000000,579.193705,651.282898,0.000000,181.000000,401.000000,708.000000,5948.000000
前3月ARPU,413.000000,0.964528,8.110703,0.000000,0.000000,0.000000,0.000000,100.000000
前3月MOU,413.000000,565.336562,555.616050,0.000000,204.000000,399.000000,701.000000,3839.000000
外省流量占比,413.000000,0.080535,0.259072,0.000000,0.000000,0.000000,0.000000,1.000000
GPRS总流量（KB）,4.130000e+02,2.016282e+07,2.904040e+07,0.000000e+00,3.856499e+06,1.248876e+07,2.554928e+07,4.183957e+08
GPRS-国内漫游-流量（KB）,4.130000e+02,1.653863e+06,1.024654e+07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.745414e+08
是否5G网络客户,413.000000,0.382567,0.486603,0.000000,0.000000,0.000000,1.000000,1.000000
客户星级标识,413.000000,4.145278,1.323136,0.000000,4.000000,4.000000,5.000000,8.000000
场所合计,413.000000,2.469734,1.825435,0.000000,1.000000,2.000000,3.000000,8.000000
出现问题合计,413.000000,3.191283,1.695145,0.000000,2.000000,3.000000,4.000000,7.000000
脱网次数、mos质差次数、未接通掉话次数合计,413.000000,17.920097,33.916243,0.000000,1.000000,8.000000,21.000000,350.000000
整体评分,413.000000,1.474576,1.541484,0.000000,0.000000,1.000000,3.000000,4.000000
