"",count,mean,std,min,25%,50%,75%,max
语音通话整体满意度,3913.000000,8.705341,0.585977,7.000000,9.000000,9.000000,9.000000,9.000000
网络覆盖与信号强度,3913.000000,8.556095,0.706734,7.000000,8.000000,9.000000,9.000000,9.000000
语音通话清晰度,3913.000000,8.650652,0.632585,7.000000,8.000000,9.000000,9.000000,9.000000
语音通话稳定性,3913.000000,8.582162,0.694676,7.000000,8.000000,9.000000,9.000000,9.000000
是否遇到过网络问题,3913.000000,0.387938,0.487343,0.000000,0.000000,0.000000,1.000000,1.000000
居民小区,3913.000000,0.224636,0.417396,0.000000,0.000000,0.000000,0.000000,1.000000
办公室,3913.000000,0.120624,0.325731,0.000000,0.000000,0.000000,0.000000,1.000000
高校,3913.000000,0.007411,0.085780,0.000000,0.000000,0.000000,0.000000,1.000000
商业街,3913.000000,0.043700,0.204454,0.000000,0.000000,0.000000,0.000000,1.000000
地铁,3913.000000,0.160235,0.366871,0.000000,0.000000,0.000000,0.000000,1.000000
农村,3913.000000,0.063634,0.244131,0.000000,0.000000,0.000000,0.000000,1.000000
高铁,3913.000000,0.089957,0.286156,0.000000,0.000000,0.000000,0.000000,1.000000
其他，请注明,3913.000000,0.034245,0.181881,0.000000,0.000000,0.000000,0.000000,1.000000
手机没有信号,3913.000000,0.164835,0.371079,0.000000,0.000000,0.000000,0.000000,1.000000
有信号无法拨通,3913.000000,0.095323,0.293698,0.000000,0.000000,0.000000,0.000000,1.000000
通话过程中突然中断,3913.000000,0.159468,0.366159,0.000000,0.000000,0.000000,0.000000,1.000000
通话中有杂音、听不清、断断续续,3913.000000,0.201636,0.401273,0.000000,0.000000,0.000000,0.000000,1.000000
串线,3913.000000,0.021722,0.145794,0.000000,0.000000,0.000000,0.000000,1.000000
通话过程中一方听不见,3913.000000,0.173524,0.378748,0.000000,0.000000,0.000000,0.000000,1.000000
其他，请注明.1,3913.000000,0.009200,0.095487,0.000000,0.000000,0.000000,0.000000,1.000000
脱网次数,3913.000000,7.344493,34.466759,0.000000,0.000000,0.000000,0.000000,1275.000000
mos质差次数,3913.000000,4.268081,6.882073,0.000000,0.000000,2.000000,6.000000,110.000000
未接通掉话次数,3913.000000,0.741375,2.418100,0.000000,0.000000,0.000000,1.000000,86.000000
是否投诉,3913.000000,0.028878,0.167485,0.000000,0.000000,0.000000,0.000000,1.000000
4\5G用户,3913.000000,1.377971,0.493304,0.000000,1.000000,1.000000,2.000000,2.000000
是否关怀用户,3913.000000,0.041145,0.198651,0.000000,0.000000,0.000000,0.000000,1.000000
套外流量（MB）,3913.000000,21.727713,233.424746,0.000000,0.000000,0.000000,0.000000,6879.190000
是否4G网络客户（本地剔除物联网）,3913.000000,0.995656,0.065778,0.000000,1.000000,1.000000,1.000000,1.000000
套外流量费（元）,3913.000000,2.224856,14.763648,0.000000,0.000000,0.000000,0.000000,318.120000
外省语音占比,3913.000000,0.049288,0.201434,0.000000,0.000000,0.000000,0.000000,1.000000
语音通话-时长（分钟）,3913.000000,436.230769,682.673779,0.000000,164.000000,284.000000,517.000000,29493.000000
省际漫游-时长（分钟）,3913.000000,22.489905,141.391690,0.000000,0.000000,0.000000,0.000000,3451.000000
终端品牌,3913.000000,15.527984,5.211164,0.000000,11.000000,14.000000,22.000000,26.000000
当月ARPU,3913.000000,80.978663,63.069148,0.000000,38.000000,65.000000,110.000000,504.900000
当月MOU,3913.000000,436.230769,682.673779,0.000000,164.000000,284.000000,517.000000,29493.000000
前3月ARPU,3913.000000,0.603228,6.190444,0.000000,0.000000,0.000000,0.000000,199.000000
前3月MOU,3913.000000,438.892665,664.674403,0.000000,176.000000,292.000000,513.000000,31066.000000
外省流量占比,3913.000000,0.050725,0.204906,0.000000,0.000000,0.000000,0.000000,1.000000
GPRS总流量（KB）,3.913000e+03,1.748099e+07,1.966913e+07,0.000000e+00,4.482005e+06,1.165004e+07,2.328895e+07,2.262635e+08
GPRS-国内漫游-流量（KB）,3.913000e+03,9.527503e+05,5.983154e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.275470e+08
是否5G网络客户,3913.000000,0.382315,0.486015,0.000000,0.000000,0.000000,1.000000,1.000000
客户星级标识,3913.000000,4.141324,0.854862,0.000000,4.000000,4.000000,5.000000,8.000000
场所合计,3913.000000,0.744442,1.150536,0.000000,0.000000,0.000000,1.000000,8.000000
出现问题合计,3913.000000,0.825709,1.263691,0.000000,0.000000,0.000000,1.000000,7.000000
脱网次数、mos质差次数、未接通掉话次数合计,3913.000000,12.353948,35.683821,0.000000,0.000000,4.000000,12.000000,1284.000000
整体评分,3913.000000,8.617174,0.599191,7.000000,8.000000,9.000000,9.000000,9.000000
