语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,脱网次数,mos质差次数,未接通掉话次数,是否投诉,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,场所合计,出现问题合计,脱网次数、mos质差次数、未接通掉话次数合计
9,5,5,5,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1816.45,1,250,1,644,644,22,347.32,644,0,480,1,8450801,8450801,1,5,1,2,0
1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,902,902,11,111.4,902,0,480,1,17425910,17425910,1,5,3,2,0
9,6,6,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,322,322,11,48,322,0,413,1,6215849,6215849,0,4,1,2,0
5,6,6,5,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,139,139,22,49,139,0,301,1,5370710,5370710,1,4,2,2,0
4,4,3,2,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,787,787,22,138.1,787,0,1193,1,3857521,3857521,0,5,3,4,0
6,5,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,627,627,22,140.09,627,0,794,1,31131458,31131458,0,5,3,4,0
7,6,8,8,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,334,334,22,60,334,0,306,1,15342037,15342037,0,3,3,3,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,386,386,11,73,386,0,185,1,11432042,11432042,0,4,0,0,2
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,474,474,17,80.36,474,0,277,1,5017952,5017952,0,4,0,0,0
9,7,7,8,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,43,43,11,29,43,0,233,1,950128,950128,1,1,4,1,0
